template,wikiproject,top_category,depth
Template:User Chinese cinema task force,film,Category:WikiProject Film user templates,1
Template:Infobox aircraft career/doc,aviation,Category:WikiProject Aviation template instructions,1
Template:Latter Day Saint biography/Dale G. Renlund,latter day saint movement,Category:Latter Day Saint biography templates,1
Template:Severan3,classical greece and rome,Category:Ancient Rome templates,1
Template:Kerala-school-stub,india,Category:WikiProject India stub templates,1
Template:1950s-Malayalam-film-stub,india,Category:WikiProject India stub templates,1
Template:Serena Williams,sports,Category:Sportsperson navigational boxes,2
Template:Kodagu-geo-stub,india,Category:WikiProject India stub templates,2
Template:LTP anni switch,london transport,NONE_CATE,0
Template:Centaur Media,journalism,NONE_CATE,0
Template:WikiProject Military history/Any,military history,Category:WikiProject Military history banner templates,1
Template:Infobox Viceroy styles,biography,Category:People and person infobox templates,2
Template:NYCS Bay Ridge shuttle,new york city public transportation,Category:New York City Subway line templates,2
Template:Infobox royalty,biography,Category:People and person infobox templates,2
Template:WP Animation image category,animation,NONE_CATE,0
Template:User WikiProject Christianity in China,christianity,Category:WikiProject Christianity user boxes,1
Template:User Film awards task force,film,Category:WikiProject Film user templates,1
Template:Greco-Bactrian kings,classical greece and rome,Category:Ancient Greece templates,1
Template:Chembox RSPhrases,chemistry,Category:Chembox templates,1
Template:NYCS Platform Layout IRT Flushing Line/express/61st Street–Woodside,new york city public transportation,Category:New York City Subway platform layout templates,1
Template:Thomas,television,Category:Television templates,2
Template:NYCS Manhattan Bridge south bypass,new york city public transportation,Category:New York City Subway line templates,2
Template:User WP Colorado,colorado,NONE_CATE,0
Template:DadraNagarHaveli-school-stub,india,Category:WikiProject India stub templates,1
Template:WOSO-invite,women's sport,NONE_CATE,0
Template:Drag,powderfinger,NONE_CATE,0
Template:Astronomical objects,astronomy,NONE_CATE,0
Template:Television season ratings,television,Category:Television templates,1
Template:Karnataka-geo-stub,india,Category:WikiProject India stub templates,2
Template:NYCS Platform Layout IRT New Lots Line,new york city public transportation,Category:New York City Subway platform layout templates,1
Template:User WikiProject North Carolina,north carolina,NONE_CATE,0
Template:User Africa Project,africa,NONE_CATE,0
Template:Mercs for Money,disney,Category:Disney templates,2
Template:Pāvilosta municipality,latvia,Category:Latvia templates,2
Template:Sundargarh-geo-stub,india,Category:WikiProject India stub templates,1
Template:Infobox Chinese-language singer and actor,biography,Category:People and person infobox templates,1
Template:NYCS South Ferry,new york city public transportation,Category:New York City Subway line templates,2
Template:C-SPAN,television,Category:Television templates,2
Template:WikiProject Typography/sandbox,typography,NONE_CATE,0
Template:NHL recap,ice hockey,Category:Ice hockey templates,2
Template:Hiero/Serech,writing systems,Category:Writing system templates,2
Template:WelcomeFR,france,NONE_CATE,0
Template:User WP Christianmetal,christian metal,NONE_CATE,0
Template:Hiero/1cartouche,writing systems,Category:Writing system templates,2
