template,wikiproject,top_category,depth
Template:1992–93 Hockey East standings (men),ice hockey,Category:Ice hockey templates,5
Template:ABC California,journalism,Category:Television templates,6
Template:ABC Minnesota,television,Category:Television templates,6
Template:2002–03 NHL Southeast Division standings,ice hockey,Category:Ice hockey templates,7
Template:Ryohgo Narita,television,Category:Television templates,5
Template:Tenth Doctor companions,journalism,Category:Television templates,7
Template:Iris Wildthyme,television,Category:Television templates,6
Template:A League of Their Own,journalism,Category:Television templates,5
Template:TaleSpin,disney,Category:Disney templates,2
Template:Europe-compu-mag-stub,journalism,Category:Magazine templates,2
Template:Infobox Star Trek character,journalism,Category:Television templates,5
Template:Studio Deen,television,Category:Television templates,4
Template:CBS Indiana,journalism,Category:Television templates,7
Template:Case Western Reserve Spartans football coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Hartford Hawks men's basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Discovery Kids,journalism,Category:Television templates,5
Template:Fb team Metta-LU,latvia,Category:Latvia templates,4
Template:Bleach,journalism,Category:Television templates,5
Template:Chickasaw County, Mississippi,united states,Category:WikiProject Mississippi templates,5
Template:Wichita State Shockers women's basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Williams Street/sandbox,television,Category:Television templates,6
Template:MNTV California,journalism,Category:Television templates,7
Template:Fruits Basket,journalism,Category:Television templates,4
Template:Casshern,television,Category:Television templates,4
Template:San Diego Gulls,ice hockey,Category:Ice hockey templates,4
Template:Nicktoons video games,journalism,Category:Television templates,4
Template:Big Brother,television,Category:Television templates,5
Template:Mamoru Hosoda,journalism,Category:Television templates,5
Template:Radio Philippines Network,journalism,Category:Television templates,5
Template:User Juneau,alaska,Category:Alaska user templates,1
Template:Rutgers Scarlet Knights football coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Contains Lontara script,writing systems,Category:Writing system templates,2
Template:Euro coins (collectors edition),numismatics,NONE_CATE,0
Template:Satellite Award Best Actress Television Miniseries or Film,television,Category:Television templates,6
Template:Film Editing,journalism,Category:Television templates,1
Template:Bermuda TV,television,Category:Television templates,4
Template:Unicode chart Enclosed CJK Letters and Months,writing systems,Category:Writing system templates,2
Template:NYCS Platform Layout IRT Flushing Line/express/61st Street–Woodside,new york city public transportation,Category:New York City Subway platform layout templates,1
Template:Big East Conference baseball coach navbox,sports,Category:Sportsperson navigational boxes,4
Template:American Idol 1,journalism,Category:Television templates,5
Template:NHL awards,ice hockey,Category:Ice hockey templates,4
Template:Ghost Whisperer,journalism,Category:Television templates,4
Template:Korea Drama Awards,journalism,Category:Television templates,5
Template:Monday Night Football,journalism,Category:Television templates,5
Template:Western Collegiate Hockey Association women's navbox,ice hockey,Category:Ice hockey templates,5
Template:WikiProject Nursing,nursing,NONE_CATE,0
